Effective date ,S&P 500
26/12/2017,2680.5
27/12/2017,2682.62
28/12/2017,2687.54
29/12/2017,2673.61
2/1/2018,2695.81
3/1/2018,2713.06
4/1/2018,2723.99
5/1/2018,2743.15
8/1/2018,2747.71
9/1/2018,2751.29
10/1/2018,2748.23
11/1/2018,2767.56
12/1/2018,2786.24
16/1/2018,2776.42
17/1/2018,2802.56
18/1/2018,2798.03
19/1/2018,2810.3
22/1/2018,2832.97
23/1/2018,2839.13
24/1/2018,2837.54
25/1/2018,2839.25
26/1/2018,2872.87
29/1/2018,2853.53
30/1/2018,2822.43
31/1/2018,2823.81
1/2/2018,2821.98
2/2/2018,2762.13
5/2/2018,2648.94
6/2/2018,2695.14
7/2/2018,2681.66
8/2/2018,2581
9/2/2018,2619.55
12/2/2018,2656
13/2/2018,2662.94
14/2/2018,2698.63
15/2/2018,2731.2
16/2/2018,2732.22
20/2/2018,2716.26
21/2/2018,2701.33
22/2/2018,2703.96
23/2/2018,2747.3
26/2/2018,2779.6
27/2/2018,2744.28
28/2/2018,2713.83
1/3/2018,2677.67
2/3/2018,2691.25
5/3/2018,2720.94
6/3/2018,2728.12
7/3/2018,2726.8
8/3/2018,2738.97
9/3/2018,2786.57
12/3/2018,2783.02
13/3/2018,2765.31
14/3/2018,2749.48
15/3/2018,2747.33
16/3/2018,2752.01
19/3/2018,2712.92
20/3/2018,2716.94
21/3/2018,2711.93
22/3/2018,2643.69
23/3/2018,2588.26
26/3/2018,2658.55
27/3/2018,2612.62
28/3/2018,2605
29/3/2018,2640.87
2/4/2018,2581.88
3/4/2018,2614.45
4/4/2018,2644.69
5/4/2018,2662.84
6/4/2018,2604.47
9/4/2018,2613.16
10/4/2018,2656.87
11/4/2018,2642.19
12/4/2018,2663.99
13/4/2018,2656.3
16/4/2018,2677.84
17/4/2018,2706.39
18/4/2018,2708.64
19/4/2018,2693.13
20/4/2018,2670.14
23/4/2018,2670.29
24/4/2018,2634.56
25/4/2018,2639.4
26/4/2018,2666.94
27/4/2018,2669.91
30/4/2018,2648.05
1/5/2018,2654.8
2/5/2018,2635.67
3/5/2018,2629.73
4/5/2018,2663.42
7/5/2018,2672.63
8/5/2018,2671.92
9/5/2018,2697.79
10/5/2018,2723.07
11/5/2018,2727.72
14/5/2018,2730.13
15/5/2018,2711.45
16/5/2018,2722.46
17/5/2018,2720.13
18/5/2018,2712.97
21/5/2018,2733.01
22/5/2018,2724.44
23/5/2018,2733.29
24/5/2018,2727.76
25/5/2018,2721.33
29/5/2018,2689.86
30/5/2018,2724.01
31/5/2018,2705.27
1/6/2018,2734.62
4/6/2018,2746.87
5/6/2018,2748.8
6/6/2018,2772.35
7/6/2018,2770.37
8/6/2018,2779.03
11/6/2018,2782
12/6/2018,2786.85
13/6/2018,2775.63
14/6/2018,2782.49
15/6/2018,2779.66
18/6/2018,2773.75
19/6/2018,2762.59
20/6/2018,2767.32
21/6/2018,2749.76
22/6/2018,2754.88
25/6/2018,2717.07
26/6/2018,2723.06
27/6/2018,2699.63
28/6/2018,2716.31
29/6/2018,2718.37
2/7/2018,2726.71
3/7/2018,2713.22
5/7/2018,2736.61
6/7/2018,2759.82
9/7/2018,2784.17
10/7/2018,2793.84
11/7/2018,2774.02
12/7/2018,2798.29
13/7/2018,2801.31
16/7/2018,2798.43
17/7/2018,2809.55
18/7/2018,2815.62
19/7/2018,2804.49
20/7/2018,2801.83
23/7/2018,2806.98
24/7/2018,2820.4
25/7/2018,2846.07
26/7/2018,2837.44
27/7/2018,2818.82
30/7/2018,2802.6
31/7/2018,2816.29
1/8/2018,2813.36
2/8/2018,2827.22
3/8/2018,2840.35
6/8/2018,2850.4
7/8/2018,2858.45
8/8/2018,2857.7
9/8/2018,2853.58
10/8/2018,2833.28
13/8/2018,2821.93
14/8/2018,2839.96
15/8/2018,2818.37
16/8/2018,2840.69
17/8/2018,2850.13
20/8/2018,2857.05
21/8/2018,2862.96
22/8/2018,2861.82
23/8/2018,2856.98
24/8/2018,2874.69
27/8/2018,2896.74
28/8/2018,2897.52
29/8/2018,2914.04
30/8/2018,2901.13
31/8/2018,2901.52
4/9/2018,2896.72
5/9/2018,2888.6
6/9/2018,2878.05
7/9/2018,2871.68
10/9/2018,2877.13
11/9/2018,2887.89
12/9/2018,2888.92
13/9/2018,2904.18
14/9/2018,2904.98
17/9/2018,2888.8
18/9/2018,2904.31
19/9/2018,2907.95
20/9/2018,2930.75
21/9/2018,2929.67
24/9/2018,2919.37
25/9/2018,2915.56
26/9/2018,2905.97
27/9/2018,2914
28/9/2018,2913.98
1/10/2018,2924.59
2/10/2018,2923.43
3/10/2018,2925.51
4/10/2018,2901.61
5/10/2018,2885.57
8/10/2018,2884.43
9/10/2018,2880.34
10/10/2018,2785.68
11/10/2018,2728.37
12/10/2018,2767.13
15/10/2018,2750.79
16/10/2018,2809.92
17/10/2018,2809.21
18/10/2018,2768.78
19/10/2018,2767.78
22/10/2018,2755.88
23/10/2018,2740.69
24/10/2018,2656.1
25/10/2018,2705.57
26/10/2018,2658.69
29/10/2018,2641.25
30/10/2018,2682.63
31/10/2018,2711.74
1/11/2018,2740.37
2/11/2018,2723.06
5/11/2018,2738.31
6/11/2018,2755.45
7/11/2018,2813.89
8/11/2018,2806.83
9/11/2018,2781.01
12/11/2018,2726.22
13/11/2018,2722.18
14/11/2018,2701.58
15/11/2018,2730.2
16/11/2018,2736.27
19/11/2018,2690.73
20/11/2018,2641.89
21/11/2018,2649.93
23/11/2018,2632.56
26/11/2018,2673.45
27/11/2018,2682.17
28/11/2018,2743.79
29/11/2018,2737.76
30/11/2018,2760.17
3/12/2018,2790.37
4/12/2018,2700.06
6/12/2018,2695.95
7/12/2018,2633.08
10/12/2018,2637.72
11/12/2018,2636.78
12/12/2018,2651.07
13/12/2018,2650.54
14/12/2018,2599.95
17/12/2018,2545.94
18/12/2018,2546.16
19/12/2018,2506.96
20/12/2018,2467.42
21/12/2018,2416.62
24/12/2018,2351.1
26/12/2018,2467.7
27/12/2018,2488.83
